seed,policy,policy_value,gross_recovered,true_incremental_recovered,intervention_cost,interventions,retry,whatsapp,none
0,consent_safe_baseline,38216.92999999999,679850.41,40252.92999999999,2036.0,823,793,30,77
0,causapay,31661.55,674575.03,34977.55,3316.0,657,503,154,243
0,oracle,67474.0,711230.48,71633.0,4159.0,864,677,187,36
0,naive_likelihood_matched_volume,24683.6,665881.0800000001,26283.6,1600.0,657,635,22,243
1,consent_safe_baseline,69193.37,676065.79,72029.37,2836.0,625,503,122,275
1,causapay,62765.26,669792.6799999999,65756.26,2991.0,657,528,129,243
1,oracle,100570.35,708888.77,104852.35,4282.0,867,671,196,33
1,naive_likelihood_matched_volume,42093.7,648770.12,44733.7,2640.0,657,555,102,243
2,consent_safe_baseline,24705.28,750883.64,29129.28,4424.0,509,247,262,391
2,causapay,20585.16,746133.52,24379.16,3794.0,571,367,204,329
2,oracle,72842.98999999999,798843.35,77088.98999999999,4246.0,862,668,194,38
2,naive_likelihood_matched_volume,19429.7,743691.06,21936.7,2507.0,571,466,105,329
3,consent_safe_baseline,21903.370000000003,698488.31,26344.370000000003,4441.0,446,173,273,454
3,causapay,30504.47,705953.41,33809.47,3305.0,515,340,175,385
3,oracle,56383.4,732883.3400000001,60739.4,4356.0,878,678,200,22
3,naive_likelihood_matched_volume,27369.24,702116.18,29972.24,2603.0,515,394,121,385
4,consent_safe_baseline,32831.06999999999,741656.02,38839.06999999999,6008.0,612,244,368,288
4,causapay,33522.28,740669.23,37852.28,4330.0,579,335,244,321
4,oracle,59427.22,766462.17,63645.22,4218.0,874,684,190,26
4,naive_likelihood_matched_volume,23369.09,729398.04,26581.09,3212.0,579,421,158,321
5,consent_safe_baseline,36063.12,764761.4200000002,42005.12,5942.0,618,256,362,282
5,causapay,43546.67,770021.97,47265.67,3719.0,579,382,197,321
5,oracle,63646.76000000001,790613.06,67856.76000000001,4210.0,870,680,190,30
5,naive_likelihood_matched_volume,30334.200000000004,757303.5,34547.200000000004,4213.0,579,344,235,321
6,consent_safe_baseline,61201.85999999999,725598.78,65767.85999999999,4566.0,645,393,252,255
6,causapay,30629.98,694026.9000000001,34195.98,3566.0,613,433,180,287
6,oracle,79893.86,743967.78,84136.86,4243.0,867,674,193,33
6,naive_likelihood_matched_volume,38573.66,701112.5800000001,41281.66,2708.0,613,499,114,287
7,consent_safe_baseline,60452.79999999999,574367.45,65916.79999999999,5464.0,600,272,328,300
7,causapay,51268.32,563085.97,54635.32,3367.0,585,416,169,315
7,oracle,104142.99,616619.6400000001,108168.99,4026.0,869,693,176,31
7,naive_likelihood_matched_volume,35095.32,547445.97,38995.32,3900.0,585,375,210,315
8,consent_safe_baseline,54416.3,747529.78,56911.3,2495.0,825,760,65,75
8,causapay,39155.41,733026.8899999999,42408.41,3253.0,684,539,145,216
8,oracle,62988.34,757647.8200000001,67029.34,4041.0,870,693,177,30
8,naive_likelihood_matched_volume,39770.130000000005,732510.61,41892.130000000005,2122.0,684,626,58,216
9,consent_safe_baseline,75878.8,805488.99,79259.8,3381.0,735,588,147,165
9,causapay,50244.5,779888.69,53659.5,3415.0,661,500,161,239
9,oracle,111611.28,841884.4700000001,115655.28,4044.0,865,687,178,35
9,naive_likelihood_matched_volume,68232.04999999999,797330.24,71101.04999999999,2869.0,661,542,119,239
