seed,estimator,treatment,mae,bias,correlation,calibration_slope
10,v1,retry,0.1410478828416123,0.0217158677383756,0.0619337715637655,0.0040954017597808
10,v1,whatsapp,0.2081939840906696,-0.0106075973717707,-0.1170044135227867,-0.0149334813946141
10,v2,retry,0.121858506436067,0.0147322356824925,-0.0524803016193626,-0.0040883434254296
10,v2,whatsapp,0.1768589861654591,-0.0267027782644384,0.0720272404647947,0.010977836442317
11,v1,retry,0.1550009783096503,-0.0070102282837562,0.2613090416551299,0.016619430943362
11,v1,whatsapp,0.2226349491177624,0.0166716653127365,-0.1025154327723422,-0.0118104644267083
11,v2,retry,0.1083226712440199,-0.0062139005620893,0.2711352067192272,0.0251052662857736
11,v2,whatsapp,0.1619696646863742,0.0263549796636815,0.0743842579754319,0.0121611036306878
12,v1,retry,0.162973130494051,0.0204985264744572,0.0368326324598961,0.0023442238371901
12,v1,whatsapp,0.199339909622366,-0.0435067916794639,-0.0301076483461316,-0.0039231219134952
12,v2,retry,0.1368156173212356,-0.0075778459910016,-0.0955436210140248,-0.0077073940717536
12,v2,whatsapp,0.1565772457875215,-0.025707114010889,0.1092249818682827,0.0185574239658046
13,v1,retry,0.1515346492058701,0.0230308561539544,0.3530613602740882,0.0227904558753102
13,v1,whatsapp,0.1917671352642555,0.0759120664281726,0.0088590738624243,0.0011441273965918
13,v2,retry,0.123504052588451,0.0329059438856058,0.2628534722896852,0.0211213981318746
13,v2,whatsapp,0.1507066185673955,0.0396246020886619,0.069602785150087,0.0121946245306115
14,v1,retry,0.1485367275179538,-0.0096652483678414,0.1736255393349195,0.0114905574171502
14,v1,whatsapp,0.2034955953127679,-0.0222779892208654,0.0515179182343412,0.0060215114199679
14,v2,retry,0.1107958902220396,-0.009081090030648,0.1080205317343308,0.0100944637754009
14,v2,whatsapp,0.1576889790240771,-0.0122602352211952,0.1341342546436298,0.021693705092337
15,v1,retry,0.1481173542252781,-0.0311347183641576,0.0532615436512698,0.0038142087620284
15,v1,whatsapp,0.202336569524186,-0.0181322556047265,0.11694665765694,0.0134911595346686
15,v2,retry,0.1223301806042809,-0.0330121417692161,0.0480971833135223,0.0043612795133535
15,v2,whatsapp,0.1398671575735573,-0.0201706351674358,0.1160254640828969,0.0207605922556481
16,v1,retry,0.1592646157950452,-0.0099587058251244,0.1077297014109017,0.0066729322516663
16,v1,whatsapp,0.2311296080748542,0.0761680163343648,0.1859769189097921,0.0217875641515153
16,v2,retry,0.1279748212716482,-0.0257137537598231,0.1287566504252829,0.0100764734184235
16,v2,whatsapp,0.1727988895648717,0.0703397138349497,0.2803510509748439,0.0444215796067057
17,v1,retry,0.1546591361612212,0.0195256411145082,0.1015753552446721,0.0064807422245551
17,v1,whatsapp,0.2447186970921457,0.0070651535839992,0.2144237289984845,0.0210776144791749
17,v2,retry,0.118810894256847,0.0161232903721561,0.0756150627438274,0.0066940479305864
17,v2,whatsapp,0.1648535115488225,0.0402823512977108,0.1927939122825963,0.0302488034629585
18,v1,retry,0.1405093566941776,0.0479231409498358,0.0190229242480525,0.0013775835861646
18,v1,whatsapp,0.2154186320063725,0.0952237047107401,0.0972700120034799,0.0119919873479483
18,v2,retry,0.1205755964026167,0.0260772434310355,-0.0296657926042366,-0.0024953265697179
18,v2,whatsapp,0.1653001855012546,0.0858113616802605,-0.0075806167615331,-0.001336573918163
19,v1,retry,0.1604526654092608,-0.0131878442503555,-0.0813728761493938,-0.0057081930251965
19,v1,whatsapp,0.2229229528075436,-0.0010692959131984,-0.1790064267105895,-0.0207801358606708
19,v2,retry,0.1184477138737382,-0.0138870012171129,-0.1376196178223069,-0.0133761466493669
19,v2,whatsapp,0.1521612439474754,-0.0077583858108052,-0.0798525623463173,-0.0140725915999384
