seed,policy,policy_value,gross_recovered,true_incremental_recovered,intervention_cost,retry_count,whatsapp_count,none_count,abstained_count,executed_intervention_count,recovery_rate
10,consent_safe_baseline,56774.83,714453.01,60909.83,4135.0,590,197,113,0,787,0.4177777777777778
10,oracle,72399.69,730361.8700000001,76818.69,4419.0,657,207,36,0,864,0.4288888888888889
10,naive_matched_to_v1,33419.32,690819.5,37276.32,3857.0,466,195,239,0,661,0.4022222222222222
10,naive_matched_to_v2,31710.92,689012.1,35468.92,3758.0,439,192,269,0,631,0.4011111111111111
10,causapay_v1,45070.12,702093.3,48550.12,3480.0,495,166,239,85,661,0.4133333333333333
10,causapay_v2,48261.380000000005,705315.56,51772.380000000005,3511.0,458,173,269,61,631,0.4144444444444444
11,consent_safe_baseline,29047.83,571730.5599999999,32743.83,3696.0,453,186,261,0,639,0.4077777777777778
11,oracle,46493.67,589745.3999999999,50758.67,4265.0,670,195,35,0,865,0.4244444444444444
11,naive_matched_to_v1,11777.59,554049.3200000001,15062.59,3285.0,465,157,278,0,622,0.3977777777777778
11,naive_matched_to_v2,11777.59,554049.3200000001,15062.59,3285.0,465,157,278,0,622,0.3977777777777778
11,causapay_v1,35347.67,578659.3999999999,39672.67,4325.0,385,237,278,115,622,0.4133333333333333
11,causapay_v2,33905.09,577177.8200000001,38191.09,4286.0,388,234,278,12,622,0.4144444444444444
12,consent_safe_baseline,33410.380000000005,783004.37,36513.380000000005,3103.0,494,141,265,0,635,0.4311111111111111
12,oracle,76634.31,827474.3,80983.31,4349.0,667,201,32,0,868,0.4477777777777778
12,naive_matched_to_v1,33514.45999999999,783002.45,36511.45999999999,2997.0,501,133,266,0,634,0.4322222222222222
12,naive_matched_to_v2,31577.14,780987.13,34496.14,2919.0,462,133,305,0,595,0.43
12,causapay_v1,38421.29,787818.28,41327.29,2906.0,508,126,266,101,634,0.4322222222222222
12,causapay_v2,50597.86,800670.85,54179.86,3582.0,411,184,305,50,595,0.4322222222222222
13,consent_safe_baseline,51576.25,605471.6200000001,56812.25,5236.0,203,322,375,0,525,0.3944444444444444
13,oracle,83274.49,636281.86,87622.49,4348.0,659,202,39,0,861,0.4088888888888889
13,naive_matched_to_v1,38605.51,591142.8799999999,42483.51,3878.0,454,198,248,0,652,0.3911111111111111
13,naive_matched_to_v2,38569.51,591142.8799999999,42483.51,3914.0,457,200,243,0,657,0.3911111111111111
13,causapay_v1,47223.44,599786.81,51127.44,3904.0,452,200,248,84,652,0.3922222222222222
13,causapay_v2,60598.61,613158.98,64499.61,3901.0,458,199,243,25,657,0.3944444444444444
14,consent_safe_baseline,26588.97,630233.4000000001,31872.97,5284.0,62,344,494,0,406,0.4188888888888888
14,oracle,86427.27,688963.7,90603.27,4176.0,678,188,34,0,866,0.4533333333333333
14,naive_matched_to_v1,43559.75,645835.1799999999,47474.75,3915.0,360,213,327,0,573,0.4211111111111111
14,naive_matched_to_v2,44221.58,646647.01,48286.58,4065.0,375,221,304,0,596,0.4222222222222222
14,causapay_v1,37476.37,639608.8,41248.37,3772.0,371,202,327,112,573,0.43
14,causapay_v2,65138.36,667550.7899999999,69190.36,4052.0,376,220,304,12,596,0.43
15,consent_safe_baseline,28186.58,605185.49,30909.58,2723.0,559,107,234,0,666,0.4088888888888889
15,oracle,39467.77,617966.6799999999,43690.77,4223.0,679,191,30,0,870,0.42
15,naive_matched_to_v1,23234.53,599178.44,24902.53,1668.0,519,42,339,0,561,0.3955555555555555
15,naive_matched_to_v2,24609.15,600577.06,26301.15,1692.0,531,42,327,0,573,0.3977777777777778
15,causapay_v1,21406.65,599495.56,25219.65,3813.0,354,207,339,72,561,0.3988888888888889
15,causapay_v2,20039.03,598151.94,23876.03,3837.0,366,207,327,17,573,0.4011111111111111
16,consent_safe_baseline,43727.86,689981.97,51168.86,7441.0,8,495,397,0,503,0.44
16,oracle,100617.55,743659.6599999999,104846.55,4229.0,682,191,27,0,873,0.4555555555555555
16,naive_matched_to_v1,34847.32,678908.43,40095.32,5248.0,284,312,304,0,596,0.4377777777777777
16,naive_matched_to_v2,34634.32,678908.43,40095.32,5461.0,293,325,282,0,618,0.4377777777777777
16,causapay_v1,57147.11,701169.22,62356.11,5209.0,287,309,304,123,596,0.4466666666666666
16,causapay_v2,52870.29,696832.4,58019.29,5149.0,317,301,282,19,618,0.4411111111111111
17,consent_safe_baseline,23876.7,740714.8,27281.7,3405.0,405,173,322,0,578,0.4277777777777777
17,oracle,53406.13,771131.23,57698.13,4292.0,661,198,41,0,859,0.4511111111111111
17,naive_matched_to_v1,35359.0,751853.1,38420.0,3061.0,503,137,260,0,640,0.4333333333333333
